Series ID,Year,Period,Label,Value
CES0500000003,2006,M03,2006 Mar,20.04
CES0500000003,2006,M04,2006 Apr,20.17
CES0500000003,2006,M05,2006 May,20.13
CES0500000003,2006,M06,2006 Jun,20.22
CES0500000003,2006,M07,2006 Jul,20.30
CES0500000003,2006,M08,2006 Aug,20.32
CES0500000003,2006,M09,2006 Sep,20.41
CES0500000003,2006,M10,2006 Oct,20.44
CES0500000003,2006,M11,2006 Nov,20.48
CES0500000003,2006,M12,2006 Dec,20.57
CES0500000003,2007,M01,2007 Jan,20.60
CES0500000003,2007,M02,2007 Feb,20.68
CES0500000003,2007,M03,2007 Mar,20.72
CES0500000003,2007,M04,2007 Apr,20.79
CES0500000003,2007,M05,2007 May,20.84
CES0500000003,2007,M06,2007 Jun,20.95
CES0500000003,2007,M07,2007 Jul,20.96
CES0500000003,2007,M08,2007 Aug,21.00
CES0500000003,2007,M09,2007 Sep,21.04
CES0500000003,2007,M10,2007 Oct,21.06
CES0500000003,2007,M11,2007 Nov,21.12
CES0500000003,2007,M12,2007 Dec,21.18
CES0500000003,2008,M01,2008 Jan,21.19
CES0500000003,2008,M02,2008 Feb,21.26
CES0500000003,2008,M03,2008 Mar,21.36
CES0500000003,2008,M04,2008 Apr,21.38
CES0500000003,2008,M05,2008 May,21.47
CES0500000003,2008,M06,2008 Jun,21.52
CES0500000003,2008,M07,2008 Jul,21.59
CES0500000003,2008,M08,2008 Aug,21.70
CES0500000003,2008,M09,2008 Sep,21.72
CES0500000003,2008,M10,2008 Oct,21.76
CES0500000003,2008,M11,2008 Nov,21.88
CES0500000003,2008,M12,2008 Dec,21.94
CES0500000003,2009,M01,2009 Jan,21.97
CES0500000003,2009,M02,2009 Feb,21.99
CES0500000003,2009,M03,2009 Mar,22.06
CES0500000003,2009,M04,2009 Apr,22.09
CES0500000003,2009,M05,2009 May,22.10
CES0500000003,2009,M06,2009 Jun,22.13
CES0500000003,2009,M07,2009 Jul,22.18
CES0500000003,2009,M08,2009 Aug,22.23
CES0500000003,2009,M09,2009 Sep,22.26
CES0500000003,2009,M10,2009 Oct,22.30
CES0500000003,2009,M11,2009 Nov,22.36
CES0500000003,2009,M12,2009 Dec,22.36
CES0500000003,2010,M01,2010 Jan,22.41
CES0500000003,2010,M02,2010 Feb,22.45
CES0500000003,2010,M03,2010 Mar,22.45
CES0500000003,2010,M04,2010 Apr,22.49
CES0500000003,2010,M05,2010 May,22.53
CES0500000003,2010,M06,2010 Jun,22.53
CES0500000003,2010,M07,2010 Jul,22.59
CES0500000003,2010,M08,2010 Aug,22.62
CES0500000003,2010,M09,2010 Sep,22.67
CES0500000003,2010,M10,2010 Oct,22.74
CES0500000003,2010,M11,2010 Nov,22.73
CES0500000003,2010,M12,2010 Dec,22.76
CES0500000003,2011,M01,2011 Jan,22.85
CES0500000003,2011,M02,2011 Feb,22.87
CES0500000003,2011,M03,2011 Mar,22.87
CES0500000003,2011,M04,2011 Apr,22.92
CES0500000003,2011,M05,2011 May,22.99
CES0500000003,2011,M06,2011 Jun,23.01
CES0500000003,2011,M07,2011 Jul,23.10
CES0500000003,2011,M08,2011 Aug,23.07
CES0500000003,2011,M09,2011 Sep,23.11
CES0500000003,2011,M10,2011 Oct,23.20
CES0500000003,2011,M11,2011 Nov,23.18
CES0500000003,2011,M12,2011 Dec,23.21
CES0500000003,2012,M01,2012 Jan,23.24
CES0500000003,2012,M02,2012 Feb,23.27
CES0500000003,2012,M03,2012 Mar,23.36
CES0500000003,2012,M04,2012 Apr,23.39
CES0500000003,2012,M05,2012 May,23.39
CES0500000003,2012,M06,2012 Jun,23.46
CES0500000003,2012,M07,2012 Jul,23.51
CES0500000003,2012,M08,2012 Aug,23.49
CES0500000003,2012,M09,2012 Sep,23.57
CES0500000003,2012,M10,2012 Oct,23.56
CES0500000003,2012,M11,2012 Nov,23.63
CES0500000003,2012,M12,2012 Dec,23.73
CES0500000003,2013,M01,2013 Jan,23.76
CES0500000003,2013,M02,2013 Feb,23.77
CES0500000003,2013,M03,2013 Mar,23.81
CES0500000003,2013,M04,2013 Apr,23.87
CES0500000003,2013,M05,2013 May,23.89
CES0500000003,2013,M06,2013 Jun,23.97
CES0500000003,2013,M07,2013 Jul,23.98
CES0500000003,2013,M08,2013 Aug,24.03
CES0500000003,2013,M09,2013 Sep,24.06
CES0500000003,2013,M10,2013 Oct,24.09
CES0500000003,2013,M11,2013 Nov,24.16
CES0500000003,2013,M12,2013 Dec,24.17
CES0500000003,2014,M01,2014 Jan,24.21
CES0500000003,2014,M02,2014 Feb,24.32
CES0500000003,2014,M03,2014 Mar,24.31
CES0500000003,2014,M04,2014 Apr,24.34
