Series ID,Year,Period,Label,Value
JTS000000000000000HIL,2000,M12,2000 Dec,5426
JTS000000000000000HIL,2001,M01,2001 Jan,5722
JTS000000000000000HIL,2001,M02,2001 Feb,5303
JTS000000000000000HIL,2001,M03,2001 Mar,5528
JTS000000000000000HIL,2001,M04,2001 Apr,5204
JTS000000000000000HIL,2001,M05,2001 May,5410
JTS000000000000000HIL,2001,M06,2001 Jun,5109
JTS000000000000000HIL,2001,M07,2001 Jul,5244
JTS000000000000000HIL,2001,M08,2001 Aug,5223
JTS000000000000000HIL,2001,M09,2001 Sep,4954
JTS000000000000000HIL,2001,M10,2001 Oct,5078
JTS000000000000000HIL,2001,M11,2001 Nov,4914
JTS000000000000000HIL,2001,M12,2001 Dec,4829
JTS000000000000000HIL,2002,M01,2002 Jan,4855
JTS000000000000000HIL,2002,M02,2002 Feb,4801
JTS000000000000000HIL,2002,M03,2002 Mar,4706
JTS000000000000000HIL,2002,M04,2002 Apr,4928
JTS000000000000000HIL,2002,M05,2002 May,4857
JTS000000000000000HIL,2002,M06,2002 Jun,4869
JTS000000000000000HIL,2002,M07,2002 Jul,4946
JTS000000000000000HIL,2002,M08,2002 Aug,4871
JTS000000000000000HIL,2002,M09,2002 Sep,4879
JTS000000000000000HIL,2002,M10,2002 Oct,4798
JTS000000000000000HIL,2002,M11,2002 Nov,4792
JTS000000000000000HIL,2002,M12,2002 Dec,4893
JTS000000000000000HIL,2003,M01,2003 Jan,5058
JTS000000000000000HIL,2003,M02,2003 Feb,4714
JTS000000000000000HIL,2003,M03,2003 Mar,4470
JTS000000000000000HIL,2003,M04,2003 Apr,4600
JTS000000000000000HIL,2003,M05,2003 May,4678
JTS000000000000000HIL,2003,M06,2003 Jun,4682
JTS000000000000000HIL,2003,M07,2003 Jul,4639
JTS000000000000000HIL,2003,M08,2003 Aug,4666
JTS000000000000000HIL,2003,M09,2003 Sep,4799
JTS000000000000000HIL,2003,M10,2003 Oct,4902
JTS000000000000000HIL,2003,M11,2003 Nov,4767
JTS000000000000000HIL,2003,M12,2003 Dec,4984
JTS000000000000000HIL,2004,M01,2004 Jan,4900
JTS000000000000000HIL,2004,M02,2004 Feb,4788
JTS000000000000000HIL,2004,M03,2004 Mar,5227
JTS000000000000000HIL,2004,M04,2004 Apr,5152
JTS000000000000000HIL,2004,M05,2004 May,4976
JTS000000000000000HIL,2004,M06,2004 Jun,5009
JTS000000000000000HIL,2004,M07,2004 Jul,4891
JTS000000000000000HIL,2004,M08,2004 Aug,5013
JTS000000000000000HIL,2004,M09,2004 Sep,5062
JTS000000000000000HIL,2004,M10,2004 Oct,5149
JTS000000000000000HIL,2004,M11,2004 Nov,5181
JTS000000000000000HIL,2004,M12,2004 Dec,5153
JTS000000000000000HIL,2005,M01,2005 Jan,5201
JTS000000000000000HIL,2005,M02,2005 Feb,5276
JTS000000000000000HIL,2005,M03,2005 Mar,5273
JTS000000000000000HIL,2005,M04,2005 Apr,5362
JTS000000000000000HIL,2005,M05,2005 May,5271
JTS000000000000000HIL,2005,M06,2005 Jun,5376
JTS000000000000000HIL,2005,M07,2005 Jul,5328
JTS000000000000000HIL,2005,M08,2005 Aug,5409
JTS000000000000000HIL,2005,M09,2005 Sep,5493
JTS000000000000000HIL,2005,M10,2005 Oct,5124
JTS000000000000000HIL,2005,M11,2005 Nov,5344
JTS000000000000000HIL,2005,M12,2005 Dec,5294
JTS000000000000000HIL,2006,M01,2006 Jan,5271
JTS000000000000000HIL,2006,M02,2006 Feb,5474
JTS000000000000000HIL,2006,M03,2006 Mar,5524
JTS000000000000000HIL,2006,M04,2006 Apr,5215
JTS000000000000000HIL,2006,M05,2006 May,5498
JTS000000000000000HIL,2006,M06,2006 Jun,5455
JTS000000000000000HIL,2006,M07,2006 Jul,5573
JTS000000000000000HIL,2006,M08,2006 Aug,5373
JTS000000000000000HIL,2006,M09,2006 Sep,5288
JTS000000000000000HIL,2006,M10,2006 Oct,5375
JTS000000000000000HIL,2006,M11,2006 Nov,5495
JTS000000000000000HIL,2006,M12,2006 Dec,5214
JTS000000000000000HIL,2007,M01,2007 Jan,5426
JTS000000000000000HIL,2007,M02,2007 Feb,5160
JTS000000000000000HIL,2007,M03,2007 Mar,5479
