Series ID,Year,Period,Label,Value
JTS000000000000000JOL,2006,M01,2006 Jan,4397
JTS000000000000000JOL,2006,M02,2006 Feb,4325
JTS000000000000000JOL,2006,M03,2006 Mar,4732
JTS000000000000000JOL,2006,M04,2006 Apr,4790
JTS000000000000000JOL,2006,M05,2006 May,4463
JTS000000000000000JOL,2006,M06,2006 Jun,4614
JTS000000000000000JOL,2006,M07,2006 Jul,4394
JTS000000000000000JOL,2006,M08,2006 Aug,4710
JTS000000000000000JOL,2006,M09,2006 Sep,4737
JTS000000000000000JOL,2006,M10,2006 Oct,4591
JTS000000000000000JOL,2006,M11,2006 Nov,4645
JTS000000000000000JOL,2006,M12,2006 Dec,4620
JTS000000000000000JOL,2007,M01,2007 Jan,4763
JTS000000000000000JOL,2007,M02,2007 Feb,4699
JTS000000000000000JOL,2007,M03,2007 Mar,4962
JTS000000000000000JOL,2007,M04,2007 Apr,4689
JTS000000000000000JOL,2007,M05,2007 May,4657
JTS000000000000000JOL,2007,M06,2007 Jun,4859
JTS000000000000000JOL,2007,M07,2007 Jul,4598
JTS000000000000000JOL,2007,M08,2007 Aug,4546
JTS000000000000000JOL,2007,M09,2007 Sep,4652
JTS000000000000000JOL,2007,M10,2007 Oct,4636
JTS000000000000000JOL,2007,M11,2007 Nov,4646
JTS000000000000000JOL,2007,M12,2007 Dec,4545
JTS000000000000000JOL,2008,M01,2008 Jan,4624
JTS000000000000000JOL,2008,M02,2008 Feb,4279
JTS000000000000000JOL,2008,M03,2008 Mar,4225
JTS000000000000000JOL,2008,M04,2008 Apr,4035
JTS000000000000000JOL,2008,M05,2008 May,4194
JTS000000000000000JOL,2008,M06,2008 Jun,3830
JTS000000000000000JOL,2008,M07,2008 Jul,3749
JTS000000000000000JOL,2008,M08,2008 Aug,3674
JTS000000000000000JOL,2008,M09,2008 Sep,3222
JTS000000000000000JOL,2008,M10,2008 Oct,3377
JTS000000000000000JOL,2008,M11,2008 Nov,3231
JTS000000000000000JOL,2008,M12,2008 Dec,3146
JTS000000000000000JOL,2009,M01,2009 Jan,2738
JTS000000000000000JOL,2009,M02,2009 Feb,2864
JTS000000000000000JOL,2009,M03,2009 Mar,2534
JTS000000000000000JOL,2009,M04,2009 Apr,2295
JTS000000000000000JOL,2009,M05,2009 May,2549
JTS000000000000000JOL,2009,M06,2009 Jun,2503
JTS000000000000000JOL,2009,M07,2009 Jul,2232
JTS000000000000000JOL,2009,M08,2009 Aug,2338
JTS000000000000000JOL,2009,M09,2009 Sep,2487
JTS000000000000000JOL,2009,M10,2009 Oct,2406
JTS000000000000000JOL,2009,M11,2009 Nov,2503
JTS000000000000000JOL,2009,M12,2009 Dec,2568
JTS000000000000000JOL,2010,M01,2010 Jan,2837
JTS000000000000000JOL,2010,M02,2010 Feb,2666
JTS000000000000000JOL,2010,M03,2010 Mar,2679
JTS000000000000000JOL,2010,M04,2010 Apr,3153
JTS000000000000000JOL,2010,M05,2010 May,2988
JTS000000000000000JOL,2010,M06,2010 Jun,2801
JTS000000000000000JOL,2010,M07,2010 Jul,3082
JTS000000000000000JOL,2010,M08,2010 Aug,2999
JTS000000000000000JOL,2010,M09,2010 Sep,2918
JTS000000000000000JOL,2010,M10,2010 Oct,3235
JTS000000000000000JOL,2010,M11,2010 Nov,3211
JTS000000000000000JOL,2010,M12,2010 Dec,3058
JTS000000000000000JOL,2011,M01,2011 Jan,3104
JTS000000000000000JOL,2011,M02,2011 Feb,3226
JTS000000000000000JOL,2011,M03,2011 Mar,3261
JTS000000000000000JOL,2011,M04,2011 Apr,3259
JTS000000000000000JOL,2011,M05,2011 May,3179
JTS000000000000000JOL,2011,M06,2011 Jun,3455
JTS000000000000000JOL,2011,M07,2011 Jul,3623
JTS000000000000000JOL,2011,M08,2011 Aug,3329
JTS000000000000000JOL,2011,M09,2011 Sep,3774
JTS000000000000000JOL,2011,M10,2011 Oct,3619
JTS000000000000000JOL,2011,M11,2011 Nov,3565
JTS000000000000000JOL,2011,M12,2011 Dec,3768
JTS000000000000000JOL,2012,M01,2012 Jan,3909
JTS000000000000000JOL,2012,M02,2012 Feb,3616
JTS000000000000000JOL,2012,M03,2012 Mar,3979
JTS000000000000000JOL,2012,M04,2012 Apr,3793
JTS000000000000000JOL,2012,M05,2012 May,3835
JTS000000000000000JOL,2012,M06,2012 Jun,3911
JTS000000000000000JOL,2012,M07,2012 Jul,3735
JTS000000000000000JOL,2012,M08,2012 Aug,3809
JTS000000000000000JOL,2012,M09,2012 Sep,3882
JTS000000000000000JOL,2012,M10,2012 Oct,3775
JTS000000000000000JOL,2012,M11,2012 Nov,3878
JTS000000000000000JOL,2012,M12,2012 Dec,3970
JTS000000000000000JOL,2013,M01,2013 Jan,3923
JTS000000000000000JOL,2013,M02,2013 Feb,4004
JTS000000000000000JOL,2013,M03,2013 Mar,4076
JTS000000000000000JOL,2013,M04,2013 Apr,3988
JTS000000000000000JOL,2013,M05,2013 May,4145
JTS000000000000000JOL,2013,M06,2013 Jun,4150
JTS000000000000000JOL,2013,M07,2013 Jul,3885
JTS000000000000000JOL,2013,M08,2013 Aug,4085
JTS000000000000000JOL,2013,M09,2013 Sep,4128
JTS000000000000000JOL,2013,M10,2013 Oct,4222
JTS000000000000000JOL,2013,M11,2013 Nov,4119
JTS000000000000000JOL,2013,M12,2013 Dec,4121
JTS000000000000000JOL,2014,M01,2014 Jan,4127
JTS000000000000000JOL,2014,M02,2014 Feb,4373
JTS000000000000000JOL,2014,M03,2014 Mar,4388
JTS000000000000000JOL,2014,M04,2014 Apr,4566
JTS000000000000000JOL,2014,M05,2014 May,4747
JTS000000000000000JOL,2014,M06,2014 Jun,4982
JTS000000000000000JOL,2014,M07,2014 Jul,4846
JTS000000000000000JOL,2014,M08,2014 Aug,5349
JTS000000000000000JOL,2014,M09,2014 Sep,4914
JTS000000000000000JOL,2014,M10,2014 Oct,5012
JTS000000000000000JOL,2014,M11,2014 Nov,4843
JTS000000000000000JOL,2014,M12,2014 Dec,5130
JTS000000000000000JOL,2015,M01,2015 Jan,5344
JTS000000000000000JOL,2015,M02,2015 Feb,5466
JTS000000000000000JOL,2015,M03,2015 Mar,5210
JTS000000000000000JOL,2015,M04,2015 Apr,5598
JTS000000000000000JOL,2015,M05,2015 May,5563
JTS000000000000000JOL,2015,M06,2015 Jun,5248
JTS000000000000000JOL,2015,M07,2015 Jul,6056
JTS000000000000000JOL,2015,M08,2015 Aug,5467
JTS000000000000000JOL,2015,M09,2015 Sep,5488
JTS000000000000000JOL,2015,M10,2015 Oct,5773
JTS000000000000000JOL,2015,M11,2015 Nov,5708
JTS000000000000000JOL,2015,M12,2015 Dec,5845
JTS000000000000000JOL,2016,M01,2016 Jan,6012
JTS000000000000000JOL,2016,M02,2016 Feb,5770
JTS000000000000000JOL,2016,M03,2016 Mar,6129
JTS000000000000000JOL,2016,M04,2016 Apr,5803
JTS000000000000000JOL,2016,M05,2016 May,5777
JTS000000000000000JOL,2016,M06,2016 Jun,5742
JTS000000000000000JOL,2016,M07,2016 Jul,5962
JTS000000000000000JOL,2016,M08,2016 Aug,5677
JTS000000000000000JOL,2016,M09,2016 Sep,5868
JTS000000000000000JOL,2016,M10,2016 Oct,5591
JTS000000000000000JOL,2016,M11,2016 Nov,5971
JTS000000000000000JOL,2016,M12,2016 Dec,5964
JTS000000000000000JOL,2017,M01,2017 Jan,5617
JTS000000000000000JOL,2017,M02,2017 Feb,5923
JTS000000000000000JOL,2017,M03,2017 Mar,5811
JTS000000000000000JOL,2017,M04,2017 Apr,6091
JTS000000000000000JOL,2017,M05,2017 May,5826
JTS000000000000000JOL,2017,M06,2017 Jun,6305
JTS000000000000000JOL,2017,M07,2017 Jul,6238
JTS000000000000000JOL,2017,M08,2017 Aug,6276
JTS000000000000000JOL,2017,M09,2017 Sep,6320
JTS000000000000000JOL,2017,M10,2017 Oct,6408
JTS000000000000000JOL,2017,M11,2017 Nov,6271
JTS000000000000000JOL,2017,M12,2017 Dec,6336
JTS000000000000000JOL,2018,M01,2018 Jan,6589
JTS000000000000000JOL,2018,M02,2018 Feb,6578
JTS000000000000000JOL,2018,M03,2018 Mar,6818
JTS000000000000000JOL,2018,M04,2018 Apr,6903
JTS000000000000000JOL,2018,M05,2018 May,6996
JTS000000000000000JOL,2018,M06,2018 Jun,7237
JTS000000000000000JOL,2018,M07,2018 Jul,7196
JTS000000000000000JOL,2018,M08,2018 Aug,7211
JTS000000000000000JOL,2018,M09,2018 Sep,7340
JTS000000000000000JOL,2018,M10,2018 Oct,7365
JTS000000000000000JOL,2018,M11,2018 Nov,7558
JTS000000000000000JOL,2018,M12,2018 Dec,7435
JTS000000000000000JOL,2019,M01,2019 Jan,7473
JTS000000000000000JOL,2019,M02,2019 Feb,7058
JTS000000000000000JOL,2019,M03,2019 Mar,7320
JTS000000000000000JOL,2019,M04,2019 Apr,7224
JTS000000000000000JOL,2019,M05,2019 May,7295
JTS000000000000000JOL,2019,M06,2019 Jun,7147
JTS000000000000000JOL,2019,M07,2019 Jul,7080
JTS000000000000000JOL,2019,M08,2019 Aug,7142
JTS000000000000000JOL,2019,M09,2019 Sep,7100
JTS000000000000000JOL,2019,M10,2019 Oct,7417
JTS000000000000000JOL,2019,M11,2019 Nov,6896
JTS000000000000000JOL,2019,M12,2019 Dec,6741
JTS000000000000000JOL,2020,M01,2020 Jan,7161
JTS000000000000000JOL,2020,M02,2020 Feb,7006
JTS000000000000000JOL,2020,M03,2020 Mar,5919
JTS000000000000000JOL,2020,M04,2020 Apr,4709
JTS000000000000000JOL,2020,M05,2020 May,5441
JTS000000000000000JOL,2020,M06,2020 Jun,6039
JTS000000000000000JOL,2020,M07,2020 Jul,6621
JTS000000000000000JOL,2020,M08,2020 Aug,6315
JTS000000000000000JOL,2020,M09,2020 Sep,6494
JTS000000000000000JOL,2020,M10,2020 Oct,6874
JTS000000000000000JOL,2020,M11,2020 Nov,6844
JTS000000000000000JOL,2020,M12,2020 Dec,6938
JTS000000000000000JOL,2021,M01,2021 Jan,7232
JTS000000000000000JOL,2021,M02,2021 Feb,7860
JTS000000000000000JOL,2021,M03,2021 Mar,8480
JTS000000000000000JOL,2021,M04,2021 Apr,9265
JTS000000000000000JOL,2021,M05,2021 May,9639
JTS000000000000000JOL,2021,M06,2021 Jun,9852
JTS000000000000000JOL,2021,M07,2021 Jul,10783
JTS000000000000000JOL,2021,M08,2021 Aug,10629
JTS000000000000000JOL,2021,M09,2021 Sep,10673
JTS000000000000000JOL,2021,M10,2021 Oct,11094
JTS000000000000000JOL,2021,M11,2021 Nov,10922
JTS000000000000000JOL,2021,M12,2021 Dec,11448
JTS000000000000000JOL,2022,M01,2022 Jan,11283
JTS000000000000000JOL,2022,M02,2022 Feb,11344
JTS000000000000000JOL,2022,M03,2022 Mar,11855
JTS000000000000000JOL,2022,M04,2022 Apr,11400
