Series ID,Year,Period,Label,Value
JTS000000000000000LDL,2000,M12,2000 Dec,2018
JTS000000000000000LDL,2001,M01,2001 Jan,2220
JTS000000000000000LDL,2001,M02,2001 Feb,1855
JTS000000000000000LDL,2001,M03,2001 Mar,2133
JTS000000000000000LDL,2001,M04,2001 Apr,1883
JTS000000000000000LDL,2001,M05,2001 May,2029
JTS000000000000000LDL,2001,M06,2001 Jun,2015
JTS000000000000000LDL,2001,M07,2001 Jul,2038
JTS000000000000000LDL,2001,M08,2001 Aug,2011
JTS000000000000000LDL,2001,M09,2001 Sep,2107
JTS000000000000000LDL,2001,M10,2001 Oct,2319
JTS000000000000000LDL,2001,M11,2001 Nov,2255
JTS000000000000000LDL,2001,M12,2001 Dec,1922
JTS000000000000000LDL,2002,M01,2002 Jan,1907
JTS000000000000000LDL,2002,M02,2002 Feb,1978
JTS000000000000000LDL,2002,M03,2002 Mar,1883
JTS000000000000000LDL,2002,M04,2002 Apr,1956
JTS000000000000000LDL,2002,M05,2002 May,1967
JTS000000000000000LDL,2002,M06,2002 Jun,2015
JTS000000000000000LDL,2002,M07,2002 Jul,2102
JTS000000000000000LDL,2002,M08,2002 Aug,1923
JTS000000000000000LDL,2002,M09,2002 Sep,2022
JTS000000000000000LDL,2002,M10,2002 Oct,1935
JTS000000000000000LDL,2002,M11,2002 Nov,1944
JTS000000000000000LDL,2002,M12,2002 Dec,2007
JTS000000000000000LDL,2003,M01,2003 Jan,2109
JTS000000000000000LDL,2003,M02,2003 Feb,2015
JTS000000000000000LDL,2003,M03,2003 Mar,1949
JTS000000000000000LDL,2003,M04,2003 Apr,1998
JTS000000000000000LDL,2003,M05,2003 May,2072
JTS000000000000000LDL,2003,M06,2003 Jun,2076
JTS000000000000000LDL,2003,M07,2003 Jul,2062
JTS000000000000000LDL,2003,M08,2003 Aug,2162
JTS000000000000000LDL,2003,M09,2003 Sep,1932
JTS000000000000000LDL,2003,M10,2003 Oct,1969
JTS000000000000000LDL,2003,M11,2003 Nov,1951
JTS000000000000000LDL,2003,M12,2003 Dec,2007
JTS000000000000000LDL,2004,M01,2004 Jan,2037
JTS000000000000000LDL,2004,M02,2004 Feb,1985
JTS000000000000000LDL,2004,M03,2004 Mar,2065
JTS000000000000000LDL,2004,M04,2004 Apr,2010
JTS000000000000000LDL,2004,M05,2004 May,1914
JTS000000000000000LDL,2004,M06,2004 Jun,1887
JTS000000000000000LDL,2004,M07,2004 Jul,1885
JTS000000000000000LDL,2004,M08,2004 Aug,1974
JTS000000000000000LDL,2004,M09,2004 Sep,2027
JTS000000000000000LDL,2004,M10,2004 Oct,1903
JTS000000000000000LDL,2004,M11,2004 Nov,2037
JTS000000000000000LDL,2004,M12,2004 Dec,1951
JTS000000000000000LDL,2005,M01,2005 Jan,2008
JTS000000000000000LDL,2005,M02,2005 Feb,2068
JTS000000000000000LDL,2005,M03,2005 Mar,2188
JTS000000000000000LDL,2005,M04,2005 Apr,1957
JTS000000000000000LDL,2005,M05,2005 May,2021
JTS000000000000000LDL,2005,M06,2005 Jun,2015
JTS000000000000000LDL,2005,M07,2005 Jul,1898
JTS000000000000000LDL,2005,M08,2005 Aug,1905
JTS000000000000000LDL,2005,M09,2005 Sep,2032
JTS000000000000000LDL,2005,M10,2005 Oct,1873
JTS000000000000000LDL,2005,M11,2005 Nov,1769
JTS000000000000000LDL,2005,M12,2005 Dec,1923
JTS000000000000000LDL,2006,M01,2006 Jan,1784
JTS000000000000000LDL,2006,M02,2006 Feb,1882
JTS000000000000000LDL,2006,M03,2006 Mar,1888
