Series ID,Year,Period,Label,Value
JTS000000000000000OSR,2006,M01,2006 Jan,0.2
JTS000000000000000OSR,2006,M02,2006 Feb,0.3
JTS000000000000000OSR,2006,M03,2006 Mar,0.3
JTS000000000000000OSR,2006,M04,2006 Apr,0.3
JTS000000000000000OSR,2006,M05,2006 May,0.3
JTS000000000000000OSR,2006,M06,2006 Jun,0.3
JTS000000000000000OSR,2006,M07,2006 Jul,0.3
JTS000000000000000OSR,2006,M08,2006 Aug,0.3
JTS000000000000000OSR,2006,M09,2006 Sep,0.3
JTS000000000000000OSR,2006,M10,2006 Oct,0.3
JTS000000000000000OSR,2006,M11,2006 Nov,0.3
JTS000000000000000OSR,2006,M12,2006 Dec,0.3
JTS000000000000000OSR,2007,M01,2007 Jan,0.3
JTS000000000000000OSR,2007,M02,2007 Feb,0.3
JTS000000000000000OSR,2007,M03,2007 Mar,0.3
JTS000000000000000OSR,2007,M04,2007 Apr,0.3
JTS000000000000000OSR,2007,M05,2007 May,0.2
JTS000000000000000OSR,2007,M06,2007 Jun,0.3
JTS000000000000000OSR,2007,M07,2007 Jul,0.3
JTS000000000000000OSR,2007,M08,2007 Aug,0.2
JTS000000000000000OSR,2007,M09,2007 Sep,0.2
JTS000000000000000OSR,2007,M10,2007 Oct,0.2
JTS000000000000000OSR,2007,M11,2007 Nov,0.3
JTS000000000000000OSR,2007,M12,2007 Dec,0.3
JTS000000000000000OSR,2008,M01,2008 Jan,0.2
JTS000000000000000OSR,2008,M02,2008 Feb,0.2
JTS000000000000000OSR,2008,M03,2008 Mar,0.3
JTS000000000000000OSR,2008,M04,2008 Apr,0.3
JTS000000000000000OSR,2008,M05,2008 May,0.2
JTS000000000000000OSR,2008,M06,2008 Jun,0.2
JTS000000000000000OSR,2008,M07,2008 Jul,0.2
JTS000000000000000OSR,2008,M08,2008 Aug,0.3
JTS000000000000000OSR,2008,M09,2008 Sep,0.3
JTS000000000000000OSR,2008,M10,2008 Oct,0.3
JTS000000000000000OSR,2008,M11,2008 Nov,0.3
JTS000000000000000OSR,2008,M12,2008 Dec,0.2
JTS000000000000000OSR,2009,M01,2009 Jan,0.2
JTS000000000000000OSR,2009,M02,2009 Feb,0.2
JTS000000000000000OSR,2009,M03,2009 Mar,0.2
JTS000000000000000OSR,2009,M04,2009 Apr,0.2
JTS000000000000000OSR,2009,M05,2009 May,0.2
JTS000000000000000OSR,2009,M06,2009 Jun,0.2
JTS000000000000000OSR,2009,M07,2009 Jul,0.2
JTS000000000000000OSR,2009,M08,2009 Aug,0.2
JTS000000000000000OSR,2009,M09,2009 Sep,0.2
JTS000000000000000OSR,2009,M10,2009 Oct,0.2
JTS000000000000000OSR,2009,M11,2009 Nov,0.2
JTS000000000000000OSR,2009,M12,2009 Dec,0.2
JTS000000000000000OSR,2010,M01,2010 Jan,0.2
JTS000000000000000OSR,2010,M02,2010 Feb,0.3
JTS000000000000000OSR,2010,M03,2010 Mar,0.2
JTS000000000000000OSR,2010,M04,2010 Apr,0.2
JTS000000000000000OSR,2010,M05,2010 May,0.3
JTS000000000000000OSR,2010,M06,2010 Jun,0.2
JTS000000000000000OSR,2010,M07,2010 Jul,0.2
JTS000000000000000OSR,2010,M08,2010 Aug,0.2
JTS000000000000000OSR,2010,M09,2010 Sep,0.2
JTS000000000000000OSR,2010,M10,2010 Oct,0.2
JTS000000000000000OSR,2010,M11,2010 Nov,0.3
JTS000000000000000OSR,2010,M12,2010 Dec,0.2
JTS000000000000000OSR,2011,M01,2011 Jan,0.3
JTS000000000000000OSR,2011,M02,2011 Feb,0.2
JTS000000000000000OSR,2011,M03,2011 Mar,0.2
JTS000000000000000OSR,2011,M04,2011 Apr,0.2
JTS000000000000000OSR,2011,M05,2011 May,0.2
JTS000000000000000OSR,2011,M06,2011 Jun,0.2
JTS000000000000000OSR,2011,M07,2011 Jul,0.2
JTS000000000000000OSR,2011,M08,2011 Aug,0.2
JTS000000000000000OSR,2011,M09,2011 Sep,0.2
JTS000000000000000OSR,2011,M10,2011 Oct,0.3
JTS000000000000000OSR,2011,M11,2011 Nov,0.2
JTS000000000000000OSR,2011,M12,2011 Dec,0.2
JTS000000000000000OSR,2012,M01,2012 Jan,0.2
JTS000000000000000OSR,2012,M02,2012 Feb,0.2
JTS000000000000000OSR,2012,M03,2012 Mar,0.2
JTS000000000000000OSR,2012,M04,2012 Apr,0.2
JTS000000000000000OSR,2012,M05,2012 May,0.2
JTS000000000000000OSR,2012,M06,2012 Jun,0.3
JTS000000000000000OSR,2012,M07,2012 Jul,0.3
JTS000000000000000OSR,2012,M08,2012 Aug,0.3
JTS000000000000000OSR,2012,M09,2012 Sep,0.3
JTS000000000000000OSR,2012,M10,2012 Oct,0.2
JTS000000000000000OSR,2012,M11,2012 Nov,0.3
JTS000000000000000OSR,2012,M12,2012 Dec,0.3
JTS000000000000000OSR,2013,M01,2013 Jan,0.3
JTS000000000000000OSR,2013,M02,2013 Feb,0.2
JTS000000000000000OSR,2013,M03,2013 Mar,0.2
JTS000000000000000OSR,2013,M04,2013 Apr,0.2
JTS000000000000000OSR,2013,M05,2013 May,0.3
JTS000000000000000OSR,2013,M06,2013 Jun,0.3
JTS000000000000000OSR,2013,M07,2013 Jul,0.3
JTS000000000000000OSR,2013,M08,2013 Aug,0.3
JTS000000000000000OSR,2013,M09,2013 Sep,0.2
JTS000000000000000OSR,2013,M10,2013 Oct,0.2
JTS000000000000000OSR,2013,M11,2013 Nov,0.3
JTS000000000000000OSR,2013,M12,2013 Dec,0.2
JTS000000000000000OSR,2014,M01,2014 Jan,0.2
JTS000000000000000OSR,2014,M02,2014 Feb,0.3
JTS000000000000000OSR,2014,M03,2014 Mar,0.3
JTS000000000000000OSR,2014,M04,2014 Apr,0.3
JTS000000000000000OSR,2014,M05,2014 May,0.3
JTS000000000000000OSR,2014,M06,2014 Jun,0.2
JTS000000000000000OSR,2014,M07,2014 Jul,0.2
JTS000000000000000OSR,2014,M08,2014 Aug,0.3
JTS000000000000000OSR,2014,M09,2014 Sep,0.3
JTS000000000000000OSR,2014,M10,2014 Oct,0.3
JTS000000000000000OSR,2014,M11,2014 Nov,0.3
JTS000000000000000OSR,2014,M12,2014 Dec,0.3
JTS000000000000000OSR,2015,M01,2015 Jan,0.2
JTS000000000000000OSR,2015,M02,2015 Feb,0.3
JTS000000000000000OSR,2015,M03,2015 Mar,0.3
JTS000000000000000OSR,2015,M04,2015 Apr,0.3
JTS000000000000000OSR,2015,M05,2015 May,0.3
JTS000000000000000OSR,2015,M06,2015 Jun,0.3
JTS000000000000000OSR,2015,M07,2015 Jul,0.3
JTS000000000000000OSR,2015,M08,2015 Aug,0.3
JTS000000000000000OSR,2015,M09,2015 Sep,0.3
JTS000000000000000OSR,2015,M10,2015 Oct,0.3
JTS000000000000000OSR,2015,M11,2015 Nov,0.3
JTS000000000000000OSR,2015,M12,2015 Dec,0.3
JTS000000000000000OSR,2016,M01,2016 Jan,0.3
JTS000000000000000OSR,2016,M02,2016 Feb,0.3
JTS000000000000000OSR,2016,M03,2016 Mar,0.3
JTS000000000000000OSR,2016,M04,2016 Apr,0.3
JTS000000000000000OSR,2016,M05,2016 May,0.2
JTS000000000000000OSR,2016,M06,2016 Jun,0.2
JTS000000000000000OSR,2016,M07,2016 Jul,0.2
JTS000000000000000OSR,2016,M08,2016 Aug,0.2
JTS000000000000000OSR,2016,M09,2016 Sep,0.2
JTS000000000000000OSR,2016,M10,2016 Oct,0.3
JTS000000000000000OSR,2016,M11,2016 Nov,0.2
JTS000000000000000OSR,2016,M12,2016 Dec,0.3
JTS000000000000000OSR,2017,M01,2017 Jan,0.3
JTS000000000000000OSR,2017,M02,2017 Feb,0.3
JTS000000000000000OSR,2017,M03,2017 Mar,0.3
JTS000000000000000OSR,2017,M04,2017 Apr,0.2
JTS000000000000000OSR,2017,M05,2017 May,0.2
JTS000000000000000OSR,2017,M06,2017 Jun,0.2
JTS000000000000000OSR,2017,M07,2017 Jul,0.2
JTS000000000000000OSR,2017,M08,2017 Aug,0.2
JTS000000000000000OSR,2017,M09,2017 Sep,0.2
