Series ID,Year,Period,Label,Value
JTS000000000000000QUL,2006,M01,2006 Jan,2945
JTS000000000000000QUL,2006,M02,2006 Feb,2965
JTS000000000000000QUL,2006,M03,2006 Mar,2956
JTS000000000000000QUL,2006,M04,2006 Apr,2778
JTS000000000000000QUL,2006,M05,2006 May,3002
JTS000000000000000QUL,2006,M06,2006 Jun,3042
JTS000000000000000QUL,2006,M07,2006 Jul,3047
JTS000000000000000QUL,2006,M08,2006 Aug,3056
JTS000000000000000QUL,2006,M09,2006 Sep,2888
JTS000000000000000QUL,2006,M10,2006 Oct,2983
JTS000000000000000QUL,2006,M11,2006 Nov,3043
JTS000000000000000QUL,2006,M12,2006 Dec,2999
JTS000000000000000QUL,2007,M01,2007 Jan,2956
JTS000000000000000QUL,2007,M02,2007 Feb,2933
JTS000000000000000QUL,2007,M03,2007 Mar,2997
JTS000000000000000QUL,2007,M04,2007 Apr,2911
JTS000000000000000QUL,2007,M05,2007 May,3010
JTS000000000000000QUL,2007,M06,2007 Jun,2910
JTS000000000000000QUL,2007,M07,2007 Jul,2951
JTS000000000000000QUL,2007,M08,2007 Aug,3014
JTS000000000000000QUL,2007,M09,2007 Sep,2691
JTS000000000000000QUL,2007,M10,2007 Oct,2926
JTS000000000000000QUL,2007,M11,2007 Nov,2784
JTS000000000000000QUL,2007,M12,2007 Dec,2773
JTS000000000000000QUL,2008,M01,2008 Jan,2847
JTS000000000000000QUL,2008,M02,2008 Feb,2881
JTS000000000000000QUL,2008,M03,2008 Mar,2661
JTS000000000000000QUL,2008,M04,2008 Apr,2837
JTS000000000000000QUL,2008,M05,2008 May,2607
JTS000000000000000QUL,2008,M06,2008 Jun,2595
JTS000000000000000QUL,2008,M07,2008 Jul,2489
JTS000000000000000QUL,2008,M08,2008 Aug,2445
JTS000000000000000QUL,2008,M09,2008 Sep,2468
JTS000000000000000QUL,2008,M10,2008 Oct,2347
JTS000000000000000QUL,2008,M11,2008 Nov,2157
JTS000000000000000QUL,2008,M12,2008 Dec,2084
JTS000000000000000QUL,2009,M01,2009 Jan,1976
