Series ID,Year,Period,Label,Value
JTS000000000000000QUL,2000,M12,2000 Dec,2882
JTS000000000000000QUL,2001,M01,2001 Jan,3245
JTS000000000000000QUL,2001,M02,2001 Feb,3053
JTS000000000000000QUL,2001,M03,2001 Mar,3054
JTS000000000000000QUL,2001,M04,2001 Apr,3163
JTS000000000000000QUL,2001,M05,2001 May,2993
JTS000000000000000QUL,2001,M06,2001 Jun,2878
JTS000000000000000QUL,2001,M07,2001 Jul,2947
JTS000000000000000QUL,2001,M08,2001 Aug,2928
JTS000000000000000QUL,2001,M09,2001 Sep,2703
JTS000000000000000QUL,2001,M10,2001 Oct,2795
JTS000000000000000QUL,2001,M11,2001 Nov,2560
JTS000000000000000QUL,2001,M12,2001 Dec,2559
JTS000000000000000QUL,2002,M01,2002 Jan,2845
JTS000000000000000QUL,2002,M02,2002 Feb,2572
JTS000000000000000QUL,2002,M03,2002 Mar,2493
JTS000000000000000QUL,2002,M04,2002 Apr,2624
JTS000000000000000QUL,2002,M05,2002 May,2537
JTS000000000000000QUL,2002,M06,2002 Jun,2522
JTS000000000000000QUL,2002,M07,2002 Jul,2561
JTS000000000000000QUL,2002,M08,2002 Aug,2561
JTS000000000000000QUL,2002,M09,2002 Sep,2521
JTS000000000000000QUL,2002,M10,2002 Oct,2423
JTS000000000000000QUL,2002,M11,2002 Nov,2403
JTS000000000000000QUL,2002,M12,2002 Dec,2501
JTS000000000000000QUL,2003,M01,2003 Jan,2429
JTS000000000000000QUL,2003,M02,2003 Feb,2490
JTS000000000000000QUL,2003,M03,2003 Mar,2394
JTS000000000000000QUL,2003,M04,2003 Apr,2279
JTS000000000000000QUL,2003,M05,2003 May,2291
JTS000000000000000QUL,2003,M06,2003 Jun,2315
JTS000000000000000QUL,2003,M07,2003 Jul,2271
JTS000000000000000QUL,2003,M08,2003 Aug,2195
JTS000000000000000QUL,2003,M09,2003 Sep,2354
JTS000000000000000QUL,2003,M10,2003 Oct,2415
JTS000000000000000QUL,2003,M11,2003 Nov,2411
JTS000000000000000QUL,2003,M12,2003 Dec,2444
JTS000000000000000QUL,2004,M01,2004 Jan,2354
JTS000000000000000QUL,2004,M02,2004 Feb,2448
JTS000000000000000QUL,2004,M03,2004 Mar,2582
JTS000000000000000QUL,2004,M04,2004 Apr,2534
JTS000000000000000QUL,2004,M05,2004 May,2428
JTS000000000000000QUL,2004,M06,2004 Jun,2659
JTS000000000000000QUL,2004,M07,2004 Jul,2609
JTS000000000000000QUL,2004,M08,2004 Aug,2586
JTS000000000000000QUL,2004,M09,2004 Sep,2531
JTS000000000000000QUL,2004,M10,2004 Oct,2550
JTS000000000000000QUL,2004,M11,2004 Nov,2789
JTS000000000000000QUL,2004,M12,2004 Dec,2695
JTS000000000000000QUL,2005,M01,2005 Jan,2732
JTS000000000000000QUL,2005,M02,2005 Feb,2651
JTS000000000000000QUL,2005,M03,2005 Mar,2747
JTS000000000000000QUL,2005,M04,2005 Apr,2741
JTS000000000000000QUL,2005,M05,2005 May,2763
JTS000000000000000QUL,2005,M06,2005 Jun,2754
JTS000000000000000QUL,2005,M07,2005 Jul,2735
JTS000000000000000QUL,2005,M08,2005 Aug,2957
JTS000000000000000QUL,2005,M09,2005 Sep,3046
JTS000000000000000QUL,2005,M10,2005 Oct,2863
JTS000000000000000QUL,2005,M11,2005 Nov,2895
JTS000000000000000QUL,2005,M12,2005 Dec,2849
JTS000000000000000QUL,2006,M01,2006 Jan,2945
JTS000000000000000QUL,2006,M02,2006 Feb,2965
JTS000000000000000QUL,2006,M03,2006 Mar,2956
JTS000000000000000QUL,2006,M04,2006 Apr,2778
JTS000000000000000QUL,2006,M05,2006 May,3002
JTS000000000000000QUL,2006,M06,2006 Jun,3042
JTS000000000000000QUL,2006,M07,2006 Jul,3047
JTS000000000000000QUL,2006,M08,2006 Aug,3056
JTS000000000000000QUL,2006,M09,2006 Sep,2888
JTS000000000000000QUL,2006,M10,2006 Oct,2983
JTS000000000000000QUL,2006,M11,2006 Nov,3043
JTS000000000000000QUL,2006,M12,2006 Dec,2999
JTS000000000000000QUL,2007,M01,2007 Jan,2956
JTS000000000000000QUL,2007,M02,2007 Feb,2933
JTS000000000000000QUL,2007,M03,2007 Mar,2997
JTS000000000000000QUL,2007,M04,2007 Apr,2911
JTS000000000000000QUL,2007,M05,2007 May,3010
JTS000000000000000QUL,2007,M06,2007 Jun,2910
JTS000000000000000QUL,2007,M07,2007 Jul,2951
JTS000000000000000QUL,2007,M08,2007 Aug,3014
JTS000000000000000QUL,2007,M09,2007 Sep,2691
JTS000000000000000QUL,2007,M10,2007 Oct,2926
JTS000000000000000QUL,2007,M11,2007 Nov,2784
JTS000000000000000QUL,2007,M12,2007 Dec,2773
JTS000000000000000QUL,2008,M01,2008 Jan,2847
JTS000000000000000QUL,2008,M02,2008 Feb,2881
JTS000000000000000QUL,2008,M03,2008 Mar,2661
JTS000000000000000QUL,2008,M04,2008 Apr,2837
JTS000000000000000QUL,2008,M05,2008 May,2607
JTS000000000000000QUL,2008,M06,2008 Jun,2595
JTS000000000000000QUL,2008,M07,2008 Jul,2489
JTS000000000000000QUL,2008,M08,2008 Aug,2445
JTS000000000000000QUL,2008,M09,2008 Sep,2468
JTS000000000000000QUL,2008,M10,2008 Oct,2347
JTS000000000000000QUL,2008,M11,2008 Nov,2157
JTS000000000000000QUL,2008,M12,2008 Dec,2084
JTS000000000000000QUL,2009,M01,2009 Jan,1976
JTS000000000000000QUL,2009,M02,2009 Feb,1952
JTS000000000000000QUL,2009,M03,2009 Mar,1834
JTS000000000000000QUL,2009,M04,2009 Apr,1712
JTS000000000000000QUL,2009,M05,2009 May,1683
JTS000000000000000QUL,2009,M06,2009 Jun,1685
JTS000000000000000QUL,2009,M07,2009 Jul,1685
JTS000000000000000QUL,2009,M08,2009 Aug,1555
JTS000000000000000QUL,2009,M09,2009 Sep,1627
JTS000000000000000QUL,2009,M10,2009 Oct,1660
JTS000000000000000QUL,2009,M11,2009 Nov,1810
JTS000000000000000QUL,2009,M12,2009 Dec,1766
JTS000000000000000QUL,2010,M01,2010 Jan,1742
JTS000000000000000QUL,2010,M02,2010 Feb,1844
JTS000000000000000QUL,2010,M03,2010 Mar,1856
JTS000000000000000QUL,2010,M04,2010 Apr,1897
JTS000000000000000QUL,2010,M05,2010 May,1813
JTS000000000000000QUL,2010,M06,2010 Jun,1911
JTS000000000000000QUL,2010,M07,2010 Jul,1785
JTS000000000000000QUL,2010,M08,2010 Aug,1842
JTS000000000000000QUL,2010,M09,2010 Sep,1895
JTS000000000000000QUL,2010,M10,2010 Oct,1846
JTS000000000000000QUL,2010,M11,2010 Nov,1887
JTS000000000000000QUL,2010,M12,2010 Dec,1977
JTS000000000000000QUL,2011,M01,2011 Jan,1832
JTS000000000000000QUL,2011,M02,2011 Feb,1958
JTS000000000000000QUL,2011,M03,2011 Mar,2033
JTS000000000000000QUL,2011,M04,2011 Apr,1882
JTS000000000000000QUL,2011,M05,2011 May,1965
JTS000000000000000QUL,2011,M06,2011 Jun,1923
JTS000000000000000QUL,2011,M07,2011 Jul,1986
JTS000000000000000QUL,2011,M08,2011 Aug,2031
JTS000000000000000QUL,2011,M09,2011 Sep,2041
JTS000000000000000QUL,2011,M10,2011 Oct,1997
JTS000000000000000QUL,2011,M11,2011 Nov,2039
JTS000000000000000QUL,2011,M12,2011 Dec,1981
JTS000000000000000QUL,2012,M01,2012 Jan,2030
JTS000000000000000QUL,2012,M02,2012 Feb,2130
JTS000000000000000QUL,2012,M03,2012 Mar,2167
JTS000000000000000QUL,2012,M04,2012 Apr,2134
JTS000000000000000QUL,2012,M05,2012 May,2138
JTS000000000000000QUL,2012,M06,2012 Jun,2152
JTS000000000000000QUL,2012,M07,2012 Jul,2072
JTS000000000000000QUL,2012,M08,2012 Aug,2069
JTS000000000000000QUL,2012,M09,2012 Sep,1950
JTS000000000000000QUL,2012,M10,2012 Oct,2035
JTS000000000000000QUL,2012,M11,2012 Nov,2078
JTS000000000000000QUL,2012,M12,2012 Dec,2051
JTS000000000000000QUL,2013,M01,2013 Jan,2280
JTS000000000000000QUL,2013,M02,2013 Feb,2298
JTS000000000000000QUL,2013,M03,2013 Mar,2124
JTS000000000000000QUL,2013,M04,2013 Apr,2296
JTS000000000000000QUL,2013,M05,2013 May,2234
JTS000000000000000QUL,2013,M06,2013 Jun,2203
JTS000000000000000QUL,2013,M07,2013 Jul,2363
JTS000000000000000QUL,2013,M08,2013 Aug,2316
JTS000000000000000QUL,2013,M09,2013 Sep,2302
JTS000000000000000QUL,2013,M10,2013 Oct,2372
JTS000000000000000QUL,2013,M11,2013 Nov,2391
JTS000000000000000QUL,2013,M12,2013 Dec,2287
JTS000000000000000QUL,2014,M01,2014 Jan,2311
JTS000000000000000QUL,2014,M02,2014 Feb,2411
JTS000000000000000QUL,2014,M03,2014 Mar,2449
JTS000000000000000QUL,2014,M04,2014 Apr,2474
JTS000000000000000QUL,2014,M05,2014 May,2483
JTS000000000000000QUL,2014,M06,2014 Jun,2507
JTS000000000000000QUL,2014,M07,2014 Jul,2633
JTS000000000000000QUL,2014,M08,2014 Aug,2549
JTS000000000000000QUL,2014,M09,2014 Sep,2732
JTS000000000000000QUL,2014,M10,2014 Oct,2718
JTS000000000000000QUL,2014,M11,2014 Nov,2600
JTS000000000000000QUL,2014,M12,2014 Dec,2552
JTS000000000000000QUL,2015,M01,2015 Jan,2764
JTS000000000000000QUL,2015,M02,2015 Feb,2741
JTS000000000000000QUL,2015,M03,2015 Mar,2754
JTS000000000000000QUL,2015,M04,2015 Apr,2705
JTS000000000000000QUL,2015,M05,2015 May,2743
JTS000000000000000QUL,2015,M06,2015 Jun,2756
JTS000000000000000QUL,2015,M07,2015 Jul,2764
JTS000000000000000QUL,2015,M08,2015 Aug,2879
JTS000000000000000QUL,2015,M09,2015 Sep,2778
JTS000000000000000QUL,2015,M10,2015 Oct,2810
JTS000000000000000QUL,2015,M11,2015 Nov,2897
JTS000000000000000QUL,2015,M12,2015 Dec,3056
JTS000000000000000QUL,2016,M01,2016 Jan,2875
JTS000000000000000QUL,2016,M02,2016 Feb,2994
JTS000000000000000QUL,2016,M03,2016 Mar,2917
JTS000000000000000QUL,2016,M04,2016 Apr,2955
JTS000000000000000QUL,2016,M05,2016 May,3009
JTS000000000000000QUL,2016,M06,2016 Jun,3018
JTS000000000000000QUL,2016,M07,2016 Jul,2967
JTS000000000000000QUL,2016,M08,2016 Aug,2998
JTS000000000000000QUL,2016,M09,2016 Sep,3047
JTS000000000000000QUL,2016,M10,2016 Oct,3074
JTS000000000000000QUL,2016,M11,2016 Nov,3026
JTS000000000000000QUL,2016,M12,2016 Dec,2989
JTS000000000000000QUL,2017,M01,2017 Jan,3166
JTS000000000000000QUL,2017,M02,2017 Feb,3085
JTS000000000000000QUL,2017,M03,2017 Mar,3145
JTS000000000000000QUL,2017,M04,2017 Apr,3028
JTS000000000000000QUL,2017,M05,2017 May,3125
JTS000000000000000QUL,2017,M06,2017 Jun,3166
JTS000000000000000QUL,2017,M07,2017 Jul,3107
JTS000000000000000QUL,2017,M08,2017 Aug,3109
JTS000000000000000QUL,2017,M09,2017 Sep,3214
JTS000000000000000QUL,2017,M10,2017 Oct,3177
JTS000000000000000QUL,2017,M11,2017 Nov,3166
JTS000000000000000QUL,2017,M12,2017 Dec,3194
JTS000000000000000QUL,2018,M01,2018 Jan,3034
JTS000000000000000QUL,2018,M02,2018 Feb,3200
JTS000000000000000QUL,2018,M03,2018 Mar,3305
JTS000000000000000QUL,2018,M04,2018 Apr,3366
JTS000000000000000QUL,2018,M05,2018 May,3401
JTS000000000000000QUL,2018,M06,2018 Jun,3401
JTS000000000000000QUL,2018,M07,2018 Jul,3444
JTS000000000000000QUL,2018,M08,2018 Aug,3476
JTS000000000000000QUL,2018,M09,2018 Sep,3424
JTS000000000000000QUL,2018,M10,2018 Oct,3460
JTS000000000000000QUL,2018,M11,2018 Nov,3435
JTS000000000000000QUL,2018,M12,2018 Dec,3381
JTS000000000000000QUL,2019,M01,2019 Jan,3521
JTS000000000000000QUL,2019,M02,2019 Feb,3543
JTS000000000000000QUL,2019,M03,2019 Mar,3524
JTS000000000000000QUL,2019,M04,2019 Apr,3494
JTS000000000000000QUL,2019,M05,2019 May,3487
JTS000000000000000QUL,2019,M06,2019 Jun,3527
JTS000000000000000QUL,2019,M07,2019 Jul,3627
JTS000000000000000QUL,2019,M08,2019 Aug,3591
JTS000000000000000QUL,2019,M09,2019 Sep,3449
JTS000000000000000QUL,2019,M10,2019 Oct,3414
JTS000000000000000QUL,2019,M11,2019 Nov,3482
JTS000000000000000QUL,2019,M12,2019 Dec,3487
JTS000000000000000QUL,2020,M01,2020 Jan,3568
JTS000000000000000QUL,2020,M02,2020 Feb,3430
JTS000000000000000QUL,2020,M03,2020 Mar,2902
JTS000000000000000QUL,2020,M04,2020 Apr,2107
JTS000000000000000QUL,2020,M05,2020 May,2206
JTS000000000000000QUL,2020,M06,2020 Jun,2646
JTS000000000000000QUL,2020,M07,2020 Jul,3182
JTS000000000000000QUL,2020,M08,2020 Aug,2987
JTS000000000000000QUL,2020,M09,2020 Sep,3307
JTS000000000000000QUL,2020,M10,2020 Oct,3352
JTS000000000000000QUL,2020,M11,2020 Nov,3296
JTS000000000000000QUL,2020,M12,2020 Dec,3407
JTS000000000000000QUL,2021,M01,2021 Jan,3306
JTS000000000000000QUL,2021,M02,2021 Feb,3383
JTS000000000000000QUL,2021,M03,2021 Mar,3568
JTS000000000000000QUL,2021,M04,2021 Apr,3992
JTS000000000000000QUL,2021,M05,2021 May,3630
JTS000000000000000QUL,2021,M06,2021 Jun,3870
JTS000000000000000QUL,2021,M07,2021 Jul,4028
JTS000000000000000QUL,2021,M08,2021 Aug,4270
JTS000000000000000QUL,2021,M09,2021 Sep,4362
JTS000000000000000QUL,2021,M10,2021 Oct,4157
JTS000000000000000QUL,2021,M11,2021 Nov,4527
