Series ID,Year,Period,Label,Value
CES6056132081,2000,M01,2000 Jan,82331
CES6056132081,2000,M02,2000 Feb,83293
CES6056132081,2000,M03,2000 Mar,83185
CES6056132081,2000,M04,2000 Apr,84975
CES6056132081,2000,M05,2000 May,83542
CES6056132081,2000,M06,2000 Jun,83283
CES6056132081,2000,M07,2000 Jul,82885
CES6056132081,2000,M08,2000 Aug,82980
CES6056132081,2000,M09,2000 Sep,82132
CES6056132081,2000,M10,2000 Oct,82050
CES6056132081,2000,M11,2000 Nov,81274
CES6056132081,2000,M12,2000 Dec,79903
CES6056132081,2001,M01,2001 Jan,78362
CES6056132081,2001,M02,2001 Feb,77968
CES6056132081,2001,M03,2001 Mar,76575
CES6056132081,2001,M04,2001 Apr,73619
CES6056132081,2001,M05,2001 May,73802
CES6056132081,2001,M06,2001 Jun,72829
CES6056132081,2001,M07,2001 Jul,72192
CES6056132081,2001,M08,2001 Aug,71406
CES6056132081,2001,M09,2001 Sep,70030
CES6056132081,2001,M10,2001 Oct,68770
CES6056132081,2001,M11,2001 Nov,66445
CES6056132081,2001,M12,2001 Dec,66273
CES6056132081,2002,M01,2002 Jan,65153
CES6056132081,2002,M02,2002 Feb,66293
CES6056132081,2002,M03,2002 Mar,68011
CES6056132081,2002,M04,2002 Apr,68847
CES6056132081,2002,M05,2002 May,69316
CES6056132081,2002,M06,2002 Jun,69715
CES6056132081,2002,M07,2002 Jul,66021
CES6056132081,2002,M08,2002 Aug,69433
CES6056132081,2002,M09,2002 Sep,68939
CES6056132081,2002,M10,2002 Oct,68793
CES6056132081,2002,M11,2002 Nov,67807
CES6056132081,2002,M12,2002 Dec,66390
CES6056132081,2003,M01,2003 Jan,68432
CES6056132081,2003,M02,2003 Feb,67607
CES6056132081,2003,M03,2003 Mar,67375
CES6056132081,2003,M04,2003 Apr,65968
CES6056132081,2003,M05,2003 May,67373
CES6056132081,2003,M06,2003 Jun,67727
CES6056132081,2003,M07,2003 Jul,68831
CES6056132081,2003,M08,2003 Aug,68153
CES6056132081,2003,M09,2003 Sep,67832
CES6056132081,2003,M10,2003 Oct,67888
CES6056132081,2003,M11,2003 Nov,68823
