Series ID,Year,Period,Label,Value
CES6056132081,2006,M01,2006 Jan,84039
CES6056132081,2006,M02,2006 Feb,83728
CES6056132081,2006,M03,2006 Mar,82576
CES6056132081,2006,M04,2006 Apr,81894
CES6056132081,2006,M05,2006 May,82709
CES6056132081,2006,M06,2006 Jun,84272
CES6056132081,2006,M07,2006 Jul,82471
CES6056132081,2006,M08,2006 Aug,81851
CES6056132081,2006,M09,2006 Sep,82626
CES6056132081,2006,M10,2006 Oct,82620
CES6056132081,2006,M11,2006 Nov,83220
CES6056132081,2006,M12,2006 Dec,84432
CES6056132081,2007,M01,2007 Jan,84081
CES6056132081,2007,M02,2007 Feb,83148
CES6056132081,2007,M03,2007 Mar,83969
CES6056132081,2007,M04,2007 Apr,83465
CES6056132081,2007,M05,2007 May,82236
CES6056132081,2007,M06,2007 Jun,82727
CES6056132081,2007,M07,2007 Jul,82037
CES6056132081,2007,M08,2007 Aug,81388
CES6056132081,2007,M09,2007 Sep,80579
CES6056132081,2007,M10,2007 Oct,80830
CES6056132081,2007,M11,2007 Nov,80547
CES6056132081,2007,M12,2007 Dec,80529
CES6056132081,2008,M01,2008 Jan,79886
CES6056132081,2008,M02,2008 Feb,79465
CES6056132081,2008,M03,2008 Mar,79211
CES6056132081,2008,M04,2008 Apr,79027
CES6056132081,2008,M05,2008 May,78360
CES6056132081,2008,M06,2008 Jun,76759
CES6056132081,2008,M07,2008 Jul,75469
CES6056132081,2008,M08,2008 Aug,75687
CES6056132081,2008,M09,2008 Sep,73765
CES6056132081,2008,M10,2008 Oct,71522
CES6056132081,2008,M11,2008 Nov,67314
CES6056132081,2008,M12,2008 Dec,64714
CES6056132081,2009,M01,2009 Jan,62700
CES6056132081,2009,M02,2009 Feb,59159
CES6056132081,2009,M03,2009 Mar,57968
CES6056132081,2009,M04,2009 Apr,56723
CES6056132081,2009,M05,2009 May,56367
CES6056132081,2009,M06,2009 Jun,56203
CES6056132081,2009,M07,2009 Jul,56474
CES6056132081,2009,M08,2009 Aug,56223
CES6056132081,2009,M09,2009 Sep,56603
CES6056132081,2009,M10,2009 Oct,58625
CES6056132081,2009,M11,2009 Nov,60797
CES6056132081,2009,M12,2009 Dec,61967
CES6056132081,2010,M01,2010 Jan,64951
CES6056132081,2010,M02,2010 Feb,63521
CES6056132081,2010,M03,2010 Mar,67027
CES6056132081,2010,M04,2010 Apr,68211
