Series ID,Year,Period,Label,Value
CES6056132006,2000,M01,2000 Jan,2525.5
CES6056132006,2000,M02,2000 Feb,2531.7
CES6056132006,2000,M03,2000 Mar,2551.7
CES6056132006,2000,M04,2000 Apr,2590.7
CES6056132006,2000,M05,2000 May,2554.8
CES6056132006,2000,M06,2000 Jun,2554.7
CES6056132006,2000,M07,2000 Jul,2550.3
CES6056132006,2000,M08,2000 Aug,2537.6
CES6056132006,2000,M09,2000 Sep,2542.8
CES6056132006,2000,M10,2000 Oct,2532.4
CES6056132006,2000,M11,2000 Nov,2531.9
CES6056132006,2000,M12,2000 Dec,2489.2
CES6056132006,2001,M01,2001 Jan,2464.2
CES6056132006,2001,M02,2001 Feb,2428.9
CES6056132006,2001,M03,2001 Mar,2385.5
CES6056132006,2001,M04,2001 Apr,2307.8
CES6056132006,2001,M05,2001 May,2284.9
CES6056132006,2001,M06,2001 Jun,2247.8
CES6056132006,2001,M07,2001 Jul,2221.3
CES6056132006,2001,M08,2001 Aug,2203.9
CES6056132006,2001,M09,2001 Sep,2168.1
CES6056132006,2001,M10,2001 Oct,2129.1
CES6056132006,2001,M11,2001 Nov,2063.5
CES6056132006,2001,M12,2001 Dec,2051.8
CES6056132006,2002,M01,2002 Jan,2055.3
CES6056132006,2002,M02,2002 Feb,2065.2
CES6056132006,2002,M03,2002 Mar,2099.1
CES6056132006,2002,M04,2002 Apr,2124.9
CES6056132006,2002,M05,2002 May,2132.8
CES6056132006,2002,M06,2002 Jun,2138.5
CES6056132006,2002,M07,2002 Jul,2095.9
CES6056132006,2002,M08,2002 Aug,2136.4
CES6056132006,2002,M09,2002 Sep,2114.7
CES6056132006,2002,M10,2002 Oct,2110.2
CES6056132006,2002,M11,2002 Nov,2092.8
CES6056132006,2002,M12,2002 Dec,2074.7
CES6056132006,2003,M01,2003 Jan,2112.1
CES6056132006,2003,M02,2003 Feb,2099.6
CES6056132006,2003,M03,2003 Mar,2085.9
CES6056132006,2003,M04,2003 Apr,2061.5
CES6056132006,2003,M05,2003 May,2105.4
CES6056132006,2003,M06,2003 Jun,2136.5
CES6056132006,2003,M07,2003 Jul,2164.5
CES6056132006,2003,M08,2003 Aug,2163.6
CES6056132006,2003,M09,2003 Sep,2174.1
CES6056132006,2003,M10,2003 Oct,2175.9
CES6056132006,2003,M11,2003 Nov,2191.8
CES6056132006,2003,M12,2003 Dec,2214.8
CES6056132006,2004,M01,2004 Jan,2219.1
CES6056132006,2004,M02,2004 Feb,2228.2
CES6056132006,2004,M03,2004 Mar,2238.8
CES6056132006,2004,M04,2004 Apr,2273.6
CES6056132006,2004,M05,2004 May,2302.0
CES6056132006,2004,M06,2004 Jun,2304.1
CES6056132006,2004,M07,2004 Jul,2313.8
CES6056132006,2004,M08,2004 Aug,2319.4
CES6056132006,2004,M09,2004 Sep,2341.9
CES6056132006,2004,M10,2004 Oct,2393.1
CES6056132006,2004,M11,2004 Nov,2373.9
CES6056132006,2004,M12,2004 Dec,2339.7
CES6056132006,2005,M01,2005 Jan,2369.4
CES6056132006,2005,M02,2005 Feb,2408.7
CES6056132006,2005,M03,2005 Mar,2412.1
CES6056132006,2005,M04,2005 Apr,2428.2
CES6056132006,2005,M05,2005 May,2423.1
CES6056132006,2005,M06,2005 Jun,2442.0
CES6056132006,2005,M07,2005 Jul,2459.2
CES6056132006,2005,M08,2005 Aug,2476.2
CES6056132006,2005,M09,2005 Sep,2519.2
CES6056132006,2005,M10,2005 Oct,2521.6
CES6056132006,2005,M11,2005 Nov,2538.7
CES6056132006,2005,M12,2005 Dec,2541.5
CES6056132006,2006,M01,2006 Jan,2531.3
CES6056132006,2006,M02,2006 Feb,2537.2
CES6056132006,2006,M03,2006 Mar,2533.0
CES6056132006,2006,M04,2006 Apr,2527.6
CES6056132006,2006,M05,2006 May,2544.9
CES6056132006,2006,M06,2006 Jun,2538.3
CES6056132006,2006,M07,2006 Jul,2529.8
CES6056132006,2006,M08,2006 Aug,2534.1
CES6056132006,2006,M09,2006 Sep,2526.8
CES6056132006,2006,M10,2006 Oct,2518.9
CES6056132006,2006,M11,2006 Nov,2514.2
CES6056132006,2006,M12,2006 Dec,2527.9
CES6056132006,2007,M01,2007 Jan,2540.2
CES6056132006,2007,M02,2007 Feb,2527.3
CES6056132006,2007,M03,2007 Mar,2529.2
CES6056132006,2007,M04,2007 Apr,2514.0
CES6056132006,2007,M05,2007 May,2492.0
CES6056132006,2007,M06,2007 Jun,2484.3
CES6056132006,2007,M07,2007 Jul,2471.0
CES6056132006,2007,M08,2007 Aug,2466.3
CES6056132006,2007,M09,2007 Sep,2434.4
CES6056132006,2007,M10,2007 Oct,2442.0
CES6056132006,2007,M11,2007 Nov,2426.1
CES6056132006,2007,M12,2007 Dec,2418.3
CES6056132006,2008,M01,2008 Jan,2420.8
CES6056132006,2008,M02,2008 Feb,2379.2
CES6056132006,2008,M03,2008 Mar,2364.5
CES6056132006,2008,M04,2008 Apr,2345.0
CES6056132006,2008,M05,2008 May,2311.5
CES6056132006,2008,M06,2008 Jun,2284.5
CES6056132006,2008,M07,2008 Jul,2252.8
CES6056132006,2008,M08,2008 Aug,2226.1
CES6056132006,2008,M09,2008 Sep,2195.4
CES6056132006,2008,M10,2008 Oct,2122.3
CES6056132006,2008,M11,2008 Nov,2015.4
CES6056132006,2008,M12,2008 Dec,1926.0
CES6056132006,2009,M01,2009 Jan,1838.7
CES6056132006,2009,M02,2009 Feb,1781.9
CES6056132006,2009,M03,2009 Mar,1730.4
CES6056132006,2009,M04,2009 Apr,1678.2
CES6056132006,2009,M05,2009 May,1672.6
CES6056132006,2009,M06,2009 Jun,1657.9
CES6056132006,2009,M07,2009 Jul,1665.9
CES6056132006,2009,M08,2009 Aug,1663.4
CES6056132006,2009,M09,2009 Sep,1684.6
CES6056132006,2009,M10,2009 Oct,1719.2
