Series ID,Year,Period,Label,Value
CES6056132056,2006,M03,2006 Mar,88978
CES6056132056,2006,M04,2006 Apr,89097
CES6056132056,2006,M05,2006 May,90246
CES6056132056,2006,M06,2006 Jun,91115
CES6056132056,2006,M07,2006 Jul,89581
CES6056132056,2006,M08,2006 Aug,89087
CES6056132056,2006,M09,2006 Sep,88795
CES6056132056,2006,M10,2006 Oct,88641
CES6056132056,2006,M11,2006 Nov,88523
CES6056132056,2006,M12,2006 Dec,90203
CES6056132056,2007,M01,2007 Jan,88335
CES6056132056,2007,M02,2007 Feb,89066
CES6056132056,2007,M03,2007 Mar,89723
CES6056132056,2007,M04,2007 Apr,89143
CES6056132056,2007,M05,2007 May,88526
CES6056132056,2007,M06,2007 Jun,88546
CES6056132056,2007,M07,2007 Jul,88165
CES6056132056,2007,M08,2007 Aug,87430
CES6056132056,2007,M09,2007 Sep,86171
CES6056132056,2007,M10,2007 Oct,87055
CES6056132056,2007,M11,2007 Nov,86308
CES6056132056,2007,M12,2007 Dec,85662
CES6056132056,2008,M01,2008 Jan,85640
CES6056132056,2008,M02,2008 Feb,83697
CES6056132056,2008,M03,2008 Mar,83771
CES6056132056,2008,M04,2008 Apr,82764
CES6056132056,2008,M05,2008 May,81338
CES6056132056,2008,M06,2008 Jun,80744
CES6056132056,2008,M07,2008 Jul,79141
CES6056132056,2008,M08,2008 Aug,79051
CES6056132056,2008,M09,2008 Sep,77709
CES6056132056,2008,M10,2008 Oct,74968
CES6056132056,2008,M11,2008 Nov,70194
CES6056132056,2008,M12,2008 Dec,68282
CES6056132056,2009,M01,2009 Jan,65698
CES6056132056,2009,M02,2009 Feb,63593
CES6056132056,2009,M03,2009 Mar,60581
CES6056132056,2009,M04,2009 Apr,59033
CES6056132056,2009,M05,2009 May,59064
CES6056132056,2009,M06,2009 Jun,58402
CES6056132056,2009,M07,2009 Jul,58685
CES6056132056,2009,M08,2009 Aug,58741
CES6056132056,2009,M09,2009 Sep,59217
CES6056132056,2009,M10,2009 Oct,60494
CES6056132056,2009,M11,2009 Nov,63332
CES6056132056,2009,M12,2009 Dec,64406
CES6056132056,2010,M01,2010 Jan,66456
CES6056132056,2010,M02,2010 Feb,65648
CES6056132056,2010,M03,2010 Mar,68161
CES6056132056,2010,M04,2010 Apr,69142
CES6056132056,2010,M05,2010 May,70661
CES6056132056,2010,M06,2010 Jun,71608
CES6056132056,2010,M07,2010 Jul,72151
