Series ID,Year,Period,Label,Value
CES6056132057,2006,M03,2006 Mar,1182518
CES6056132057,2006,M04,2006 Apr,1187663
CES6056132057,2006,M05,2006 May,1209296
CES6056132057,2006,M06,2006 Jun,1226408
CES6056132057,2006,M07,2006 Jul,1221885
CES6056132057,2006,M08,2006 Aug,1226728
CES6056132057,2006,M09,2006 Sep,1228923
CES6056132057,2006,M10,2006 Oct,1231223
CES6056132057,2006,M11,2006 Nov,1224273
CES6056132057,2006,M12,2006 Dec,1254724
CES6056132057,2007,M01,2007 Jan,1257890
CES6056132057,2007,M02,2007 Feb,1293238
CES6056132057,2007,M03,2007 Mar,1293806
CES6056132057,2007,M04,2007 Apr,1283659
CES6056132057,2007,M05,2007 May,1296906
CES6056132057,2007,M06,2007 Jun,1315794
CES6056132057,2007,M07,2007 Jul,1318067
CES6056132057,2007,M08,2007 Aug,1308827
CES6056132057,2007,M09,2007 Sep,1283086
CES6056132057,2007,M10,2007 Oct,1294508
CES6056132057,2007,M11,2007 Nov,1278221
CES6056132057,2007,M12,2007 Dec,1265228
CES6056132057,2008,M01,2008 Jan,1262334
CES6056132057,2008,M02,2008 Feb,1236205
CES6056132057,2008,M03,2008 Mar,1242324
CES6056132057,2008,M04,2008 Apr,1232356
CES6056132057,2008,M05,2008 May,1218443
CES6056132057,2008,M06,2008 Jun,1210353
CES6056132057,2008,M07,2008 Jul,1187115
CES6056132057,2008,M08,2008 Aug,1199204
CES6056132057,2008,M09,2008 Sep,1159418
CES6056132057,2008,M10,2008 Oct,1162754
CES6056132057,2008,M11,2008 Nov,1095728
CES6056132057,2008,M12,2008 Dec,1077490
CES6056132057,2009,M01,2009 Jan,1013063
CES6056132057,2009,M02,2009 Feb,1010493
CES6056132057,2009,M03,2009 Mar,960815
CES6056132057,2009,M04,2009 Apr,934492
CES6056132057,2009,M05,2009 May,926714
CES6056132057,2009,M06,2009 Jun,906399
CES6056132057,2009,M07,2009 Jul,904336
CES6056132057,2009,M08,2009 Aug,906374
CES6056132057,2009,M09,2009 Sep,917271
CES6056132057,2009,M10,2009 Oct,933422
CES6056132057,2009,M11,2009 Nov,982279
CES6056132057,2009,M12,2009 Dec,1005378
CES6056132057,2010,M01,2010 Jan,1022758
CES6056132057,2010,M02,2010 Feb,1005727
CES6056132057,2010,M03,2010 Mar,1040137
CES6056132057,2010,M04,2010 Apr,1039896
CES6056132057,2010,M05,2010 May,1065568
CES6056132057,2010,M06,2010 Jun,1084145
CES6056132057,2010,M07,2010 Jul,1090202
CES6056132057,2010,M08,2010 Aug,1099149
CES6056132057,2010,M09,2010 Sep,1129944
CES6056132057,2010,M10,2010 Oct,1145538
CES6056132057,2010,M11,2010 Nov,1155981
CES6056132057,2010,M12,2010 Dec,1197941
CES6056132057,2011,M01,2011 Jan,1183417
CES6056132057,2011,M02,2011 Feb,1210180
CES6056132057,2011,M03,2011 Mar,1227580
CES6056132057,2011,M04,2011 Apr,1259969
CES6056132057,2011,M05,2011 May,1276562
CES6056132057,2011,M06,2011 Jun,1273119
CES6056132057,2011,M07,2011 Jul,1277082
CES6056132057,2011,M08,2011 Aug,1294508
CES6056132057,2011,M09,2011 Sep,1299572
CES6056132057,2011,M10,2011 Oct,1309197
CES6056132057,2011,M11,2011 Nov,1324163
CES6056132057,2011,M12,2011 Dec,1329024
CES6056132057,2012,M01,2012 Jan,1331288
CES6056132057,2012,M02,2012 Feb,1358176
CES6056132057,2012,M03,2012 Mar,1359156
CES6056132057,2012,M04,2012 Apr,1343070
CES6056132057,2012,M05,2012 May,1370586
CES6056132057,2012,M06,2012 Jun,1379166
CES6056132057,2012,M07,2012 Jul,1384523
CES6056132057,2012,M08,2012 Aug,1395657
CES6056132057,2012,M09,2012 Sep,1366639
CES6056132057,2012,M10,2012 Oct,1367369
CES6056132057,2012,M11,2012 Nov,1379285
CES6056132057,2012,M12,2012 Dec,1394040
CES6056132057,2013,M01,2013 Jan,1402104
CES6056132057,2013,M02,2013 Feb,1422408
CES6056132057,2013,M03,2013 Mar,1427879
CES6056132057,2013,M04,2013 Apr,1436485
