Series ID,Year,Period,Label,Value
JTS000000000000000TSL,2000,M12,2000 Dec,5240
JTS000000000000000TSL,2001,M01,2001 Jan,5842
JTS000000000000000TSL,2001,M02,2001 Feb,5231
JTS000000000000000TSL,2001,M03,2001 Mar,5566
JTS000000000000000TSL,2001,M04,2001 Apr,5414
JTS000000000000000TSL,2001,M05,2001 May,5390
JTS000000000000000TSL,2001,M06,2001 Jun,5249
JTS000000000000000TSL,2001,M07,2001 Jul,5380
JTS000000000000000TSL,2001,M08,2001 Aug,5355
JTS000000000000000TSL,2001,M09,2001 Sep,5184
JTS000000000000000TSL,2001,M10,2001 Oct,5464
JTS000000000000000TSL,2001,M11,2001 Nov,5150
JTS000000000000000TSL,2001,M12,2001 Dec,4848
JTS000000000000000TSL,2002,M01,2002 Jan,5117
JTS000000000000000TSL,2002,M02,2002 Feb,4929
JTS000000000000000TSL,2002,M03,2002 Mar,4756
JTS000000000000000TSL,2002,M04,2002 Apr,4979
JTS000000000000000TSL,2002,M05,2002 May,4834
JTS000000000000000TSL,2002,M06,2002 Jun,4887
JTS000000000000000TSL,2002,M07,2002 Jul,5054
JTS000000000000000TSL,2002,M08,2002 Aug,4846
JTS000000000000000TSL,2002,M09,2002 Sep,4919
JTS000000000000000TSL,2002,M10,2002 Oct,4733
JTS000000000000000TSL,2002,M11,2002 Nov,4750
JTS000000000000000TSL,2002,M12,2002 Dec,4928
JTS000000000000000TSL,2003,M01,2003 Jan,4953
JTS000000000000000TSL,2003,M02,2003 Feb,4871
JTS000000000000000TSL,2003,M03,2003 Mar,4749
JTS000000000000000TSL,2003,M04,2003 Apr,4653
JTS000000000000000TSL,2003,M05,2003 May,4716
JTS000000000000000TSL,2003,M06,2003 Jun,4718
JTS000000000000000TSL,2003,M07,2003 Jul,4661
JTS000000000000000TSL,2003,M08,2003 Aug,4679
JTS000000000000000TSL,2003,M09,2003 Sep,4645
JTS000000000000000TSL,2003,M10,2003 Oct,4749
JTS000000000000000TSL,2003,M11,2003 Nov,4700
JTS000000000000000TSL,2003,M12,2003 Dec,4785
JTS000000000000000TSL,2004,M01,2004 Jan,4722
JTS000000000000000TSL,2004,M02,2004 Feb,4754
JTS000000000000000TSL,2004,M03,2004 Mar,4996
JTS000000000000000TSL,2004,M04,2004 Apr,4854
JTS000000000000000TSL,2004,M05,2004 May,4688
JTS000000000000000TSL,2004,M06,2004 Jun,4896
JTS000000000000000TSL,2004,M07,2004 Jul,4828
JTS000000000000000TSL,2004,M08,2004 Aug,4904
JTS000000000000000TSL,2004,M09,2004 Sep,4886
JTS000000000000000TSL,2004,M10,2004 Oct,4786
JTS000000000000000TSL,2004,M11,2004 Nov,5134
JTS000000000000000TSL,2004,M12,2004 Dec,4964
