Series ID,Year,Period,Label,Value
PRS85006092,2000,Q01,2000 Qtr1,-1.5
PRS85006092,2000,Q02,2000 Qtr2,7.9
PRS85006092,2000,Q03,2000 Qtr3,-0.1
PRS85006092,2000,Q04,2000 Qtr4,4.0
PRS85006092,2001,Q01,2001 Qtr1,-2.1
PRS85006092,2001,Q02,2001 Qtr2,7.1
PRS85006092,2001,Q03,2001 Qtr3,2.4
PRS85006092,2001,Q04,2001 Qtr4,5.1
PRS85006092,2002,Q01,2002 Qtr1,8.6
PRS85006092,2002,Q02,2002 Qtr2,0.8
PRS85006092,2002,Q03,2002 Qtr3,2.9
PRS85006092,2002,Q04,2002 Qtr4,-0.4
PRS85006092,2003,Q01,2003 Qtr1,3.9
PRS85006092,2003,Q02,2003 Qtr2,5.4
PRS85006092,2003,Q03,2003 Qtr3,9.0
PRS85006092,2003,Q04,2003 Qtr4,3.7
PRS85006092,2004,Q01,2004 Qtr1,-0.9
PRS85006092,2004,Q02,2004 Qtr2,4.2
PRS85006092,2004,Q03,2004 Qtr3,1.6
PRS85006092,2004,Q04,2004 Qtr4,2.0
PRS85006092,2005,Q01,2005 Qtr1,4.7
PRS85006092,2005,Q02,2005 Qtr2,-0.8
PRS85006092,2005,Q03,2005 Qtr3,2.5
PRS85006092,2005,Q04,2005 Qtr4,0.4
PRS85006092,2006,Q01,2006 Qtr1,3.0
PRS85006092,2006,Q02,2006 Qtr2,-0.7
PRS85006092,2006,Q03,2006 Qtr3,-1.2
PRS85006092,2006,Q04,2006 Qtr4,3.3
PRS85006092,2007,Q01,2007 Qtr1,1.0
PRS85006092,2007,Q02,2007 Qtr2,1.4
PRS85006092,2007,Q03,2007 Qtr3,3.8
PRS85006092,2007,Q04,2007 Qtr4,3.3
PRS85006092,2008,Q01,2008 Qtr1,-2.6
PRS85006092,2008,Q02,2008 Qtr2,4.6
PRS85006092,2008,Q03,2008 Qtr3,0.9
PRS85006092,2008,Q04,2008 Qtr4,-2.3
PRS85006092,2009,Q01,2009 Qtr1,3.8
PRS85006092,2009,Q02,2009 Qtr2,8.7
PRS85006092,2009,Q03,2009 Qtr3,5.4
PRS85006092,2009,Q04,2009 Qtr4,6.3
PRS85006092,2010,Q01,2010 Qtr1,2.2
PRS85006092,2010,Q02,2010 Qtr2,0.6
PRS85006092,2010,Q03,2010 Qtr3,2.2
PRS85006092,2010,Q04,2010 Qtr4,1.7
PRS85006092,2011,Q01,2011 Qtr1,-2.7
PRS85006092,2011,Q02,2011 Qtr2,0.5
PRS85006092,2011,Q03,2011 Qtr3,-1.3
PRS85006092,2011,Q04,2011 Qtr4,2.8
PRS85006092,2012,Q01,2012 Qtr1,1.8
PRS85006092,2012,Q02,2012 Qtr2,1.7
PRS85006092,2012,Q03,2012 Qtr3,-0.4
PRS85006092,2012,Q04,2012 Qtr4,-1.3
PRS85006092,2013,Q01,2013 Qtr1,2.2
PRS85006092,2013,Q02,2013 Qtr2,-1.3
PRS85006092,2013,Q03,2013 Qtr3,1.9
PRS85006092,2013,Q04,2013 Qtr4,2.8
PRS85006092,2014,Q01,2014 Qtr1,-4.0
PRS85006092,2014,Q02,2014 Qtr2,3.9
PRS85006092,2014,Q03,2014 Qtr3,3.6
PRS85006092,2014,Q04,2014 Qtr4,-2.2
PRS85006092,2015,Q01,2015 Qtr1,3.5
PRS85006092,2015,Q02,2015 Qtr2,1.1
PRS85006092,2015,Q03,2015 Qtr3,-0.1
PRS85006092,2015,Q04,2015 Qtr4,-1.6
PRS85006092,2016,Q01,2016 Qtr1,1.4
PRS85006092,2016,Q02,2016 Qtr2,-0.3
PRS85006092,2016,Q03,2016 Qtr3,1.6
PRS85006092,2016,Q04,2016 Qtr4,2.3
PRS85006092,2017,Q01,2017 Qtr1,0.4
PRS85006092,2017,Q02,2017 Qtr2,-0.3
PRS85006092,2017,Q03,2017 Qtr3,3.2
PRS85006092,2017,Q04,2017 Qtr4,1.7
PRS85006092,2018,Q01,2018 Qtr1,1.2
PRS85006092,2018,Q02,2018 Qtr2,1.6
PRS85006092,2018,Q03,2018 Qtr3,1.1
PRS85006092,2018,Q04,2018 Qtr4,0.1
PRS85006092,2019,Q01,2019 Qtr1,3.4
PRS85006092,2019,Q02,2019 Qtr2,4.3
PRS85006092,2019,Q03,2019 Qtr3,0.8
PRS85006092,2019,Q04,2019 Qtr4,0.6
PRS85006092,2020,Q01,2020 Qtr1,-1.8
PRS85006092,2020,Q02,2020 Qtr2,11.2
PRS85006092,2020,Q03,2020 Qtr3,4.6
PRS85006092,2020,Q04,2020 Qtr4,-3.4
PRS85006092,2021,Q01,2021 Qtr1,4.3
PRS85006092,2021,Q02,2021 Qtr2,2.4
PRS85006092,2021,Q03,2021 Qtr3,-5.2
